AL, 04, 1992081512, 59, SHIP,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 59, SHIP,  48,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 59, SHIP,  72,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 61, VBAR,  12,  96N,  317W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 61, VBAR,  24, 102N,  358W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 61, VBAR,  36, 112N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 61, VBAR,  48, 123N,  444W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 61, VBAR,  72, 149N,  528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 71, 90AE,  12,  95N,  321W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 71, 90AE,  24,  96N,  363W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 71, 90AE,  36,  98N,  400W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 71, 90AE,  48, 103N,  434W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 71, 90AE,  72, 118N,  496W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 72, 90BE,  12,  95N,  321W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 72, 90BE,  24,  97N,  361W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 72, 90BE,  36, 101N,  397W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 72, 90BE,  48, 107N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 72, 90BE,  72, 120N,  492W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 81, BAMA,  12,  88N,  317W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 81, BAMA,  24,  85N,  354W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 81, BAMA,  36,  87N,  393W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 81, BAMA,  48,  93N,  432W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 81, BAMA,  72, 106N,  519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 82, BAMB,  12,  94N,  311W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 82, BAMB,  24,  97N,  344W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 1992081512, 82, BAMB,  36, 103N,  378W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
