AL, 03, 2004080800, 03, AMMN,  30, 121N,  599W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, AMMN,  36, 131N,  620W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, AMMN,  42, 136N,  645W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  12,  93N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  24,  98N,  514W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  36, 102N,  548W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  48, 108N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  60, 114N,  610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  72, 122N,  637W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  84, 131N,  663W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD,  96, 140N,  688W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD, 108, 148N,  714W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMD, 120, 155N,  737W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  12,  92N,  483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  24,  98N,  518W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  36, 104N,  552W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  48, 113N,  582W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  60, 123N,  608W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  72, 135N,  629W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  84, 147N,  649W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM,  96, 160N,  668W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM, 108, 170N,  689W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMM, 120, 179N,  709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  12,  97N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  24, 109N,  510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  36, 124N,  542W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  48, 138N,  569W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  60, 152N,  596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  72, 168N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  84, 180N,  641W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS,  96, 194N,  661W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS, 108, 204N,  682W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, BAMS, 120, 216N,  704W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLIP,  12,  88N,  486W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLIP,  24,  92N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLIP,  36,  98N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLIP,  48, 107N,  602W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLIP,  72, 130N,  668W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  12,  89N,  485W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  24,  93N,  520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  36,  98N,  556W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  48, 107N,  594W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  60, 108N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  72, 110N,  669W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  84, 116N,  707W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5,  96, 127N,  738W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5, 108, 139N,  767W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, CLP5, 120, 151N,  795W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,   0,  87N,  447W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  12,  92N,  483W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  24,  98N,  518W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  36, 104N,  552W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  48, 113N,  582W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  60, 123N,  608W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
